Razao Social,Nome Fantasia,Logradouro,numero,Bairro,Municipio,cep,UF
TBC PERFUMES E COSMETICOS LTDA,THE BEAUTY COMPANY LTDA,NEW JERSEY (C IND ARUJA),919,PORTAO,ARUJA,07411670,SP
TBFORTE SEGURANCA E TRANSPORTE DE VALORES LTDA.,,DOM AGUIRRE,458,SANTO AMARO,SAO PAULO,04671245,SP
TBRH RECURSOS HUMANOS LTDA,,DRONSFIELD,371,LAPA,SAO PAULO,05074000,SP
TBS EXPRESS CLIMATIZACAO E MANUTENCAO PREDIAL LTDA,,GENERAL OSORIO,100,SANTA PAULA,SAO CAETANO DO SUL,09541320,SP
TBT ENGENHARIA LTDA,TBT ENGENHARIA,DO COQUEIRO,141,VILA SANTA ROSA,FERNANDOPOLIS,15600001,SP
TCA/HORIBA SISTEMAS DE TESTES AUTOMOTIVOS LTDA,,GOIAS,191,VILA ORIENTAL,DIADEMA,09941690,SP
"TCI BPO  TECNOLOGIA, CONHECIMENTO E INFORMACAO S.A. EM RECUPERACAO JUDICIAL",,ADIB AUADA,35,JARDIM LAMBRETA,COTIA,06710700,SP
TCI TRANSPORTE COLETIVO DE ITATIBA LTDA,,LUIZ SCAVONE,111,CENTRO,ITATIBA,13256010,SP
TCL - TECNOLOGIA E CONSTRUCOES LTDA,,QUINZE DE NOVEMBRO 3057,3057,CENTRO,SAO JOSE DO RIO PRETO,15015907,SP
"TCM - LOGISTICA, TRANSPORTES & ARMAZENS GERAIS LTDA",CARDOSO MINAS,GUAPORE,190,ITAPEGICA,GUARULHOS,07044230,SP
TCM SERVICOS DE LIMPEZA E CONSERVACAO LTDA,TCM SERVICOS,FRANCISCO MATARAZZO,404,AGUA BRANCA,SAO PAULO,05001000,SP
TCNB CONDO CONSTRUTORA LTDA,TCNB CONDO - SERVICO INTELIGENTE,JOSE LOURENCO,650,CONCORDIA II,ARACATUBA,16013340,SP
TCPP TRANSPORTE COLETIVO PRESIDENTE PRUDENTE LTDA,,ARTHUR BOIGUES FILHO,351,JD NOVO BONGIOVANI,PRESIDENTE PRUDENTE,19026650,SP
"TD CONSTRUCOES, REDES E INSTALACOES DE GAS EIRELI",,RIACHUELO,152,CENTRO,BRAGANCA PAULISTA,12900390,SP
TD SOLUCOES AVANCADAS DE TECNOLOGIA BRASIL LTDA.,,DR RAFAEL DE BARROS,209,PARAISO,SAO PAULO,04003041,SP
TDA COMERCIO E DISTRIBUICAO DE PAPEL LTDA,,TAUBATE,42,JARDIM VALPARAISO,ITAQUAQUECETUBA,08577680,SP
TDB TEXTIL LTDA,TDB,THOMAS EDISON,941,BARRA FUNDA,SAO PAULO,01140001,SP
TDB TRANSPORTE E DISTRIBUICAO DE BENS LTDA,,TENENTE AMARO FELICISSIMO DA SILVEIRA,S/N,PARQUE NOVO MUNDO,SAO PAULO,02177010,SP
TDM - TECNOLOGIA DE MATERIAIS BRASIL LTDA,TDM BRASIL,ANTONIO CARLOS DE COUTO BARROS,2366,SOUZAS,CAMPINAS,13105500,SP
TDS INFORMATICA S/A,,ARAGUAIA,2044,ALPHAVILLE,BARUERI,06455000,SP
TDSP - PARTICIPACOES LTDA.,,IGUATEMI,448,ITAIM BIBI,SAO PAULO,01451010,SP
TE CONNECTIVITY BRASIL INDUSTRIA DE ELETRONICOS LTDA,TE CONNECTIVITY BRASIL,AMPERE,304,PENHA,BRAGANCA PAULISTA,12929570,SP
TEADIT JUNTAS LTDA,TEADIT,MERCEDES BENZ,390,DISTRITO INDUSTRIAL,CAMPINAS,13054750,SP
TEAM LEASING BRASIL PARCERIA EM SOLUCAO DE MAO DE OBRA LTDA,TEAM LEASING,CORONEL TEOFILO LEME,648,CENTRO,BRAGANCA PAULISTA,12900005,SP
TEAMWORK MUDANCAS INTERNACIONAIS EIRELI,,ALFREDO BENINCASA,500,BANDEIRAS,OSASCO,06160385,SP
TEBARROT DO BRASIL INDUSTRIA E COMERCIO DE MOVEIS LTDA - EM RECUPERACAO JUDICIAL,,ARTHUR DE OLIVEIRA,2143,PARQUE INDUSTRIAL,VALENTIM GENTIL,15520000,SP
TEBROECK INDUSTRIA E COMERCIO LTDA,,SAO PAULO,1874,V SAO DOMINGOS,SOROCABA,18013004,SP
TEC BOR BORRACHA TECNICA LIMITADA,,SULPLAST,1991,DISTR.INDUSTRIAL,RIO CLARO,13505680,SP
TEC DUTOS INSTALACAO DE DUTOS E ISOLAMENTOS DE AR CONDICIONADO EIRELI,,BARAO DE JUNDIAI,161,LAPA,SAO PAULO,05073010,SP
TEC GLASS COMPONENTES INDUSTRIAIS LTDA,,DEPUTADO DANTE DELMANTO,3.010,VILA PAULISTA,BOTUCATU,18608393,SP
TEC LAB MEDICINA DIAGNOSTICA S/A,TECNOLAB,LUCAS NOGUEIRA GARCEZ,929,JARDIM DO MAR,SAO BERNARDO DO CAMPO,09750670,SP
TEC SCREEN INDUSTRIA DE PRODUTOS TECNICOS PARA SERIGRAFIA LTDA,,QUINZE DE AGOSTO,5320,JARDIM LEOCADIA,SOROCABA,18085290,SP
TEC TOR INDUSTRIA E COMERCIO DE EQUIPAMENTOS LTDA,,NOVO HORIZONTE,390,VILA SACADURA CABRAL,SANTO ANDRE,09060820,SP
TEC VIDRO INDUSTRIA. COMERCIO E SERVICOS TECNICOS LTDA,,SETE DE JULHO,32,VILA SOCORRO,SAO PAULO,04760070,SP
TEC-SUB TECNOLOGIA SUBAQUATICA LTDA.,,DOUTOR JOAO EBOLI,12,VILA NOVA,SANTOS,11015535,SP
TECAD TECNICA EM ADMINISTRACAO LTDA,TECAD,FERNANDO DE ALBUQUERQUE,52,CERQUEIRA CESAR,SAO PAULO,01309030,SP
TECBARRAGEM LOCACAO E EMPREENDIMENTOS LTDA,TECBARRAGEM,JOSE DE CARVALHO,55,CHACARA SANTO ANTONIO (ZONA SUL),SAO PAULO,04714020,SP
TECCA INTEGRACAO DE SISTEMAS DE SEGURANCA ELETRONICA E AUTOMACAO LTDA,,AMERICO BRASILIENSE,1290,SANTO AMARO,SAO PAULO,04715002,SP
TECDATA ENGENHARIA E SERVICOS LTDA.,TECDATA SERVICOS,ARQUITETO JAIME FONSECA RODRIGUES,873,ALTO DE PINHEIROS,SAO PAULO,05446000,SP
TECELAGEM JOLITEX LTDA,JOLITEX,ANHANGUERA,288,CENTRO,AMERICANA,13466060,SP
TECELAGEM PANAMERICANA LTDA.,TECELAGEM PANAMERICANA,LUIZ OMETTO,205,DISTRITO INDUSTRIAL I,SANTA BARBARA D'OESTE,13456114,SP
TECELAGEM ROMA LTDA,,PROFESSORA ELZA ORSI AVALONE,230,JARDIM SABA,TATUI,18276760,SP
TECELAGEM SAO JOAO DE TIETE LTDA,,VICINAL ZELINDO BELOMO,SN,AREIAO,TIETE,18530000,SP
TECGOLD SISTEMAS LTDA,,DOUTOR HAMILTON PRADO,240,CENTRO,FRANCO DA ROCHA,07801000,SP
TECH FOR PARTICIPACOES & SISTEMAS EM TECNOLOGIA DA INFORMACAO LTDA.,TECH FOR PROJETOS E SISTEMAS,HADDOCK LOBO,337,CERQUEIRA CESAR,SAO PAULO,01414001,SP
TECH MAHINDRA SERVICOS DE INFORMATICA S.A.,TECH MAHINDRA,MARIA COELHO AGUIAR,215,JARDIM SO LUIS,SAO PAULO,05804900,SP
TECHCASA INCORPORACAO E CONSTRUCAO LTDA,,URUSSUI,300,ITAIM BIBI,SAO PAULO,04542051,SP
TECHINT ENGENHARIA E CONSTRUCAO S/A,TECHINT,TABAPUA,41,ITAIM BIBI,SAO PAULO,04533010,SP
TECHMAIL TECNOLOGIA EM PROCESSOS E SOLUCOES DE GESTAO EMPRESARIAL LTDA,TECHMAIL,ENGENHEIRO EUZEBIO STEVAUX,1444,JURUBATUBA,SAO PAULO,04696000,SP
TECHNE ENGENHARIA E SISTEMAS LTDA,,ALFREDO EGIDIO DE SOUZA ARANHA,100,VILA CRUZEIRO,SAO PAULO,04726170,SP
TECHNIC DO BRASIL LTDA,,VEREADOR JOSE NANCI,335,PARQUE JACATUBA,SANTO ANDRE,09290415,SP
TECHNICARE SOCORRO TECNICO MATERIAL HOSPITALAR LTDA,TECHNICARE - SOCORRO TECNICO,DOUTOR COSTA JUNIOR,530,AGUA BRANCA,SAO PAULO,05002000,SP
TECHNOPAPER REPRESENTACOES COMERCIAIS DE PAPEIS LTDA,,ARISTEU MARCICANO,2617,D.I.C FLAMINIO DE FREITAS LEVY,CORDEIROPOLIS,13490000,SP
TECHNOPAR COMERCIAL EIRELI,,SEVERINO TESCAROLLO,483,DI ALFREDO RELA,ITATIBA,13255410,SP
TECHNOPARK COMERCIO DE ARTIGOS OPTICOS S.A.,,BAHIA,347,ALPHAVILLE EMPRESARIAL,BARUERI,06465110,SP
TECHNOUSI ALMAR INDUSTRIA E COMERCIO DE AUTO PECAS E USINAGEM LTDA,,ANDRE DE ALMEIDA,1867,SAO MATEUS,SAO PAULO,03950000,SP
TECHSEAL VEDACOES TECNICAS S/A,,SAO JOAO,600,CENTRO,FERRAZ DE VASCONCELOS,08540200,SP
TECHWARE SYSTEMS COMERCIO E SERVICOS LTDA,,WERNER VON SIEMENS,111,LAPA DE BAIXO,SAO PAULO,05069010,SP
TECHWAY INSTALACOES E MANUTENCAO PREDIAL EIRELI,,LEONARDO TOGNOL,261,CIDADE SAO MATHEUS,SAO PAULO,03963000,SP
TECIDOS FIAMA LIMITADA,,AMANCIO CESARINO,235,PRQ INDUSTRIAL,CAMPINAS,13031480,SP
TECIPAR ENGENHARIA E MEIO AMBIENTE LTDA.,,MADEIRA,222,ALPHAVILLE,BARUERI,06454010,SP
TECLA CONSTRUCOES LTDA,,ELOI MENDES,73,JARDIM PARAGUACU,SAO PAULO,03938060,SP
"TECLOG FLEET MANAGEMENT, TECNOLOGIA E GESTAO DA INFORMACAO LTDA",,DOMINGOS DE MORAIS,2036 B,VILA MARIANA,SAO PAULO,04036000,SP
TECMAN ENGENHARIA LTDA,TECMAN SERVICOS TECNICOS PREDIAISLTDA,JOAO AMBIEL,1529,JD. BELVEDERE,INDAIATUBA,13331351,SP
TECMAR TRANSPORTES LTDA.,TEC MAR,DA CONGREGACAO,206,PARQUE INDUSTRIAL RAMOS DE FREITAS,EMBU DAS ARTES,06816005,SP
TECMONT ENGENHARIA E MONTAGENS DE ESTRUTURAS METALICAS LTDA,TECMONT ENGENHARIA,CEL ALVARO CASTRO,272,VILA SAO JOSE,VARZEA PAULISTA,13220001,SP
"TECNAL INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO DE EQUIPAMENTOS PARA LABORATORIO LTDA",,JOAO LEONARDO FUSTAINO,325,DISTRITO INDUSTRIAL UNINORTE,PIRACICABA,13413102,SP
TECNAUT INDUSTRIA E COMERCIO DE METAIS LTDA,TECNAUT,MARECHAL RONDON,S/N,DISTRITO INDUSTRIAL,BOTUCATU,18608840,SP
TECNET COMERCIO E SERVICOS LTDA.,TECNET,RIO NEGRO,585,ALPHAVILLE CENTRO INDUSTRIAL E EMPRESARIAL/ALPHAVI,BARUERI,06454000,SP
TECNICAS ELETRO MECANICAS TELEM S/A,,ARCIPRESTE ANDRADE,372,IPIRANGA,SAO PAULO,04268020,SP
TECNICAS NUTRICIONAIS ALIMENTACAO EMPRESARIAL LTDA,,CONSELHEIRO RODRIGUES ALVES,55,MACUCO,SANTOS,11015201,SP
TECNIMED - COMERCIO E IMPORTACAO DE PRODUTOS MEDICOS HOSPITALARES LTDA,,ENGENHEIRO REBOUCAS,1007,BAIRRO CERAMICA,SAO CAETANO DO SUL,09540000,SP
TECNISA S.A.,,BRIGADEIRO FARIA LIMA,3729,ITAIM BIBI,SAO PAULO,04538133,SP
TECNO CAST LTDA,TECNO LOCK,BARTOLOMEU DE GUSMAO,230,VILA SANTO ANTONIO,JANDIRA,06626230,SP
TECNO FLEX IND E COM LTDA,,PLACIDO VIEIRA,79,SANTO AMARO,SAO PAULO,04754080,SP
TECNO SERVICE TECNOLOGIA EM SERVICOS LTDA,,MAJOR JOSE INACIO,1471,CENTRO,SAO CARLOS,13560160,SP
TECNO TOOLS FERRAMENTAS E ABRASIVOS LTDA,,MANOEL SILVEIRA CAMARGO,432,JD SANTANA,ITU,13311140,SP
TECNOAMERICA INDUSTRIA E COMERCIO LTDA.,,JOAO OSWALDO CARDOSO,1200,PIRACANGAGUA,TAUBATE,12042050,SP
TECNOCAL CONSTRUTORA E INCORPORADORA LTDA,TECNOCAL CONSTRUTORA,BRASIL,612,BOQUEIRAO,PRAIA GRANDE,11701090,SP
TECNOCAL SERVICOS DE TELEMARKETING LTDA,TECNOCALL,PROFESSOR SEBASTIAO SOARES DE FARIA,27,BELA VISTA,SAO PAULO,01317010,SP
TECNOCOMP TECNOLOGIA E SERVICOS LTDA,TECNOCOMP,DOMINGOS BERTAGLIA,76,VL SANTA ISABEL,SAO BERNARDO DO CAMPO,09891110,SP
TECNOCUBA INDUSTRIA E COMERCIO LTDA,TECNOCUBA INDUSTRIAL,UTA YOSHIKAWA,89,CENTRO INDUSTRIAL ARUJA,ARUJA,07411680,SP
TECNOFIX INDUSTRIA E COMERCIO DE PARAFUSOS LTDA,,RAPOSO TAVARES,359,IPANEMA DO MEIO,SOROCABA,18025171,SP
TECNOGERA - LOCACAO E TRANSFORMACAO DE ENERGIA SA,TECNOGERA,ROBERT KENNEDY,615,INDEPENDENCIA,SAO BERNARDO DO CAMPO,09862172,SP
TECNOLITE CONSTRUCOES E MONTAGENS LTDA,,SUELI APARECIDA LEITE NOGUEIRA,680,PINHEIRINHO,ATIBAIA,12946379,SP
TECNOLOG TRANSPORTE RODO-AEREO E LOGISTICA LTDA.,TECNOLOG EXPRESS CARGO,SISA,178,CIDADE INDUSTRIAL SATELITE DE SAO PAULO,GUARULHOS,07221030,SP
TECNOLOGIA BANCARIA S.A.,TECBAN,BONNARD (GREEN VALLEY I),980,ALPHAVILLE EMPRESARIAL,BARUERI,06465134,SP
TECNOLOGIA QUANTUM INDUSTRIA ELETRONICA LTDA,,JOAO XXIII (JD NAZARETH),477,COOPERATIVA,SAO BERNARDO DO CAMPO,09851707,SP
TECNOMOTOR ELETRONICA DO BRASIL S/A,,ALBINO TRIQUES,2040,SANTA FELICIA,SAO CARLOS,13563340,SP
TECNOPECAS PECAS TECNICAS E FITAS ADESIVAS LIMITADA,,GENERAL MOTORS,S/N,CRUZ ALTA,INDAIATUBA,13347500,SP
TECNOPERFIL ALUMINIO LTDA,TECNOPERFIL,SABINA BAPTISTA DE CAMARGO,2945,JARDIM NOVO ANGULO,HORTOLANDIA,13185185,SP
TECNOPERFIL TAURUS LTDA,,ROBERT KENNEDY,851,JARDIM BEATRIZ,SAO BERNARDO DO CAMPO,09895003,SP
TECNOPHARMA INDUSTRIA E COMERCIO DE EMBALAGENS LTDA,,JOAQUIM SEVERINO,17,JARDIM CUPECE,SAO PAULO,04652000,SP
TECNOPLAST INDUSTRIA E COMERCIO LTDA,TECNOPLAST,PROFESSOR FRANCISCO MORATO,4.340,VILA SONIA,SAO PAULO,05520200,SP
TECNOPLASTICO BELFANO LTDA,TECNOPLASTICO BELFANO,SAMUEL AIZEMBERG,1010,COOPERATIVA,SAO BERNARDO DO CAMPO,09851550,SP
TECNOPREF INDUSTRIA EIRELI,,DAS TRES CRUZES,99,VILA AIROSA,SAO PAULO,02285000,SP
TECNOSAFE SEGURANCA PRIVADA LTDA,,MIRACATU,173,IPIRANGA,SAO PAULO,04278020,SP
TECNOSELO LACRES LTDA,POLYVIG,LUIZ CARLOS BRUNELLO,00583,CHACARAS SAO BENTO,VALINHOS,13278074,SP
TECNOSERVICE TECNOLOGIA EM SERVICOS LTDA,,LUIZ CARLOS BRUNELLO,350,CHACARAS SAO BENTO,VALINHOS,13278074,SP
TECNOSET INFORMATICA PRODUTOS E SERVICOS LTDA,,TAMOIOS,246,JARDIM AEROPORTO,SAO PAULO,04630000,SP
TECNOTEXTIL-INDUSTRIA E COMERCIO DE CINTAS LTDA,TECNOTEXTIL,CONSELHEIRO SARAIVA,17,VILA MATHIAS,SANTOS,11013520,SP
TECNOTONER CARTUCHOS PARA IMPRESSORAS LTDA.,TECNOTONER,LAFAIETE BRASIL DE ALMEIDA,93,MARECHAL RONDON,SALTO,13323203,SP
TECNOTRON AUTOMACAO E CONTROLES INDUSTRIAIS LTDA,,VERA CRUZ,305,JARDIM BELVAL,BARUERI,06423010,SP
TECNOWISE TECNOLOGIA DE TRANSITO EIRELI,,DAS NACOES UNIDAS,14261,VILA GERTRUDES,SAO PAULO,04794000,SP
"TECOL - TECNOLOGIA, ENGENHARIA E CONSTRUCAO LTDA",TECOL,HUMAITA,25,VILA MENDONCA,ARACATUBA,16015090,SP
TECPARTS DO BRASIL INDUSTRIA E COMERCIO LTDA.,,VICENTE BELLINI,293,CONCEICAO,PIRACICABA,13427225,SP
TECPER FUNDACOES E GEOTECNIA EIRELI,,MINAS GERAIS,381,CANHEMA,DIADEMA,09941760,SP
TECPLAS INDUSTRIA E COMERCIO LTDA,TECPLAS,SERRA DO RONCADOR,377,JD ANHEMBI,SAO JOSE DOS CAMPOS,12235240,SP
TECPOLPA INDUSTRIA E COMERCIO DE SUCOS LTDA,,ANTONIO PINHEIRO DE MORAIS,600,DISTRITO INDUSTRIAL II,DOBRADA,15980000,SP
"TECSEL SELECAO, MAO DE OBRA TEMPORARIA E TERCEIRIZACAO DE SERVICOS LTDA",TECTEMP,LEONARDO CAVALCANTI,306,VILA GOTARDO,JUNDIAI,13212390,SP
TECSUL ENGENHARIA LTDA,,SALMAO,633,PARQUE RESIDENCIAL AQUARIUS,SAO JOSE DOS CAMPOS,12246260,SP
TECSYS DO BRASIL INDUSTRIAL LTDA,,OROS,146,PARQUE INDUSTRIAL,SAO JOSE DOS CAMPOS,12237150,SP
TECTEXTIL EMBALAGENS TEXTEIS LTDA,TECTEXTIL,CAPITAO JOSE PINTO SIQUEIRA,1700,DISTRITO INDUSTRIAL UNILESTE,PIRACICABA,13422150,SP
TECTOTAL ASSISTENCIA E SUPORTE DIGITAL LTDA.,VOKI,RIO NEGRO,500,ALPHAVILLE CENTRO INDUSTRIAL E EMPRESARIAL/ALPHAVI,BARUERI,06454000,SP
TECTUBOS - TECNOLOGIA EM TUBOS INDUSTRIA E COMERCIO LTDA.,,FORTE DO RIO BRANCO,721,PARQUE SAO LOURENCO,SAO PAULO,08340140,SP
TECUMSEH DO BRASIL LTDA,,CEL J A OLIVEIRA SALLES,478,VL IZABEL,SAO CARLOS,13570820,SP
TECVOZ ELETRONICOS EIRELI,,CLIMACO BARBOSA,208,CAMBUCI,SAO PAULO,01523000,SP
TEDDEWORK SEGURANCA PRIVADA LTDA,,PADRE JOSE DE ANCHIETA,242,VILA FURLAN,ARARAQUARA,14807000,SP
TEDDEWORK SERVICOS INDUSTRIAIS LTDA,,PADRE JOSE DE ANCHIETA,242,VILA FURLAN,ARARAQUARA,14807000,SP
TEG - TERMINAL EXPORTADOR DO GUARUJA LTDA.,TEG - TERMINAL EXPORTADOR DO GUARUJA LTDA.,BENTO PEDRO DA COSTA,65,VICENTE DE CARVALHO,GUARUJA,11472000,SP
TEGMA GESTAO LOGISTICA S.A.,,NICOLA DEMARCHI,2000,DEMARCHI,SAO BERNARDO DO CAMPO,09820655,SP
TEGULA SOLUCOES PARA TELHADOS LTDA,REDLAND HOLDINGS BRAZIL,TEGULA,333,PONTE ALTA,ATIBAIA,12953162,SP
TEIXEIRA & CALADO SEGURANCA LTDA,TEIXEIRA & CALADO,MARCONI,388,VILA CLELIA,LINS,16401345,SP
TEIXEIRA DE FREITAS ENGENHARIA E COMERCIO LTDA,,INCONFIDENCIA,122,JD SAO DIMAS,SAO JOSE DOS CAMPOS,12245370,SP
"TEIXEIRA DUARTE - ENGENHARIA E CONSTRUCOES, S.A.",,IGUATEMI,448,ITAIM BIBI,SAO PAULO,01451010,SP
TEKI-LI EVENTOS E LOCACAO DE ANDAIMES LTDA,,SAO JOAO,413,VILA NOVA,CUBATAO,11520160,SP
TEKINOX MANUTENCAO E MONTAGENS INDUSTRIAIS LTDA,,DR. ROBERTO MOREIRA,2858,BETEL,PAULINIA,13148150,SP
TEKLA INDUSTRIAL TEXTIL LTDA.,TEKLA INDUSTRIAL,RUA TOCANTINIA,356,VILA LIVIERO,SAO PAULO,04186200,SP
TEKNIA BRASIL LTDA.,TEKNIA AUTOMOTIVE,SAO BENEDITO DO FOGIO,20,CONDOMINIO LAGOINHA,JACAREI,12334020,SP
TEL FRETAMENTO E TURISMO LTDA.,TEL TURISMO,VASCO JOAQUIM SMITH DE VASCONCELOS,430,JARDIM DO LAGO,CAMPINAS,13050014,SP
TEL TELECOMUNICACOES LTDA.,,TENENTE ALBERTO SPICCIATI,156,BARRA FUNDA,SAO PAULO,01140130,SP
TEL-NT BRASIL COMERCIO DE EQUIPAMENTOS DE TELECOMUNICACOES LTDA.,,ANTONIO FELAMINGO,162,MACUCO,VALINHOS,13279452,SP
TELATEC COMERCIAL TEXTIL EIRELI,TELATEC,ANA MARIA MARTINEZ,56,JARDIM RENATA,SANTO ANDRE,09171210,SP
TELCABOS TELECOMUNICACOES E INFORMATICA LTDA,,VISCONDE DE TAUNAY,711,BARRA FUNDA,SAO PAULO,01132000,SP
TELE PERFORMANCE TELECOMUNICACOES LTDA.,TLP SERVICOS,FRANCISCA EMIILIA,82,JARDIM SAUDE,SAO PAULO,04125070,SP
TELEATLANTIC COMERCIO E MONITORIA DE ALARME S.A.,,BRIGADEIRO FARIA LIMA,1485,JARDIM PAULISTANO,SAO PAULO,01452002,SP
TELEBANK SERVICOS LTDA,,DOUTOR ALFREDO DE CASTRO,200,BARRA FUNDA,SAO PAULO,01155060,SP
TELECOM NET S/A LOGISTICA DIGITAL,EPAY,BANDEIRA PAULISTA,600,ITAIM BIBI,SAO PAULO,04532001,SP
TELEFONICA DATA S.A.,,TAMBORE,341,ALPHAVILLE,BARUERI,06460000,SP
TELEFONICA INTELIGENCIA E SEGURANCA BRASIL LTDA.,,HADDOCK LOBO,337,CERQUEIRA CESAR,SAO PAULO,01414001,SP
TELEFONICA SERVICOS DE ENSINO LTDA.,,ALFREDO EGIDIO DE SOUZA ARANHA,100,VILA CRUZEIRO,SAO PAULO,04726170,SP
TELEHELP SISTEMAS DE ATENDIMENTO EMERGENCIAL S.A.,,DOUTOR GERALDO CAMPOS MOREIRA,240,CIDADE MONCOES,SAO PAULO,04571020,SP
TELEINFO COMERCIO E SERVICOS DE TELEINFORMATICA LTDA,,CAVIANA,13,VILA GUARANI,SAO PAULO,04307010,SP
TELELOK CENTRAL DE LOCACOES E COMERCIO LTDA,TELELOK LOCACAO DE MOVEIS,DO ROCIO,84,VILA OLIMPIA,SAO PAULO,04552000,SP
TELEMABI CENTRAL DE ATENDIMENTO TELEFONICO E CONSULTORIA EM TELEMARKETING LTDA,,DOUTOR OSWALDO CRUZ,799,JARDIM NOSSA SENHORA AUXILIADORA,CAMPINAS,13076260,SP
TELEPOST MARKETING PROMOCOES E INCENTIVO LTDA,,SIQUEIRA BUENO,1350,BELENZINHO,SAO PAULO,03173010,SP
TELETUSA TELEFONIA E CONSTRUCOES LTDA,,MATO GROSSO,915,DESMEMBRAMENTO LAJEADO,PENAPOLIS,16306296,SP
TELEVISAO INDEPENDENTE DE SAO JOSE DO RIO PRETO LTDA,REDEVIDA DE TELEVISAO,GERALDINA V B CAMARGO,400,JD YOLANDA,SAO JOSE DO RIO PRETO,15061620,SP
TELEVISAO PRINCESA D OESTE DE CAMPINAS LTDA,,ROMUALDO ANDREAZZI,516,JARDIM LEONOR,CAMPINAS,13041030,SP
TELEVISAO SOROCABA LTDA,,PROF. DIRCEU FERREIRA DA SILVA,55,BOA VISTA,SOROCABA,18013565,SP
TELHACO INDUSTRIA E COMERCIO LTDA,,DA GLORIA,2315,PAULISTA,PIRACICABA,13401040,SP
TELIUM TECNOLOGIA DA INFORMACAO LTDA,TELIUM TECNOLOGIA DA INFORMACAO,DAS NACOES UNIDAS,13797,MORUMBI,SAO PAULO,04794000,SP
TELLABS DO BRASIL LTDA,,JAMES JOULE,92,CIDADE MONCOES,SAO PAULO,04576080,SP
TELLUS COMERCIO IMPORTACAO E EXPORTACAO LTDA,TELLUS,URUSSUI,92,ITAIM BIBI,SAO PAULO,04542050,SP
"TELMAC COMERCIO, IMPORTACAO E EXPORTACAO EIRELI",TELMAC COMERCIO DE PECAS E ACESSORIOS INDUSTRIAL,PRESIDENTE CASTELO BRANCO,2800,NOVA RIBEIRANIA,RIBEIRAO PRETO,14096560,SP
TELSINC PRESTACAO DE SERVICOS PARA SISTEMAS DE INFORMATICA E COMUNICACAO DE DADOS LTDA.,TELSINC,EUROPA,1206,POLO EMPRESARIAL TAMBORE,SANTANA DE PARNAIBA,06543325,SP
TEMOINSA DO BRASIL LTDA,,ANHANGUERA,574,BARRA FUNDA,SAO PAULO,01135000,SP
TEMON SERVICOS DE ENGENHARIA E MANUTENCAO LTDA,,ENGENHEIRO LUIZ CARLOS BERRINI,1681,CIDADE MONCOES,SAO PAULO,04571011,SP
TEMPERA IRMAOS CARBONE LIMITADA,TEMPERA IRMAOS CARBONE,EUGENIO BERTINI,305,SAO LUIZ,AMERICANA,13477570,SP
"TEMPERALHO TRADING, COMERCIO, IMPORTACAO E EXPORTACAO EIRELI",ALHOS BOIANI,NOSSA SENHORA DE FATIMA QUADRA,15-73,JARDIM AMERICA,BAURU,17017337,SP
TEMPERART INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,TEMPERART,ONOFRIO MILANO,206,JAGUARE,SAO PAULO,05348030,SP
TEMPERMAX INDUSTRIA E COMERCIO DE VIDROS TEMPERADOS LTDA,,JOHN BOYD DUNLOP,681,IPORANGA,SOROCABA,18087115,SP
TEMPMASTER REFRIGERACAO INDUSTRIAL LTDA,,FRAGATA DA CONSTITUICAO,384,JARAGUA,SAO PAULO,02986080,SP
TEMPO - COMERCIAL DE VEICULOS E SERVICOS LTDA,TEMPO COMERCIAL,OROZIMBO MAIA,1150,CAMBUI,CAMPINAS,13024045,SP
TEMPO AUTOMOVEIS E PECAS LTDA,TEMPO,JOHN BOYD DUNLOP,375,VILA SAO BENTO,CAMPINAS,13034685,SP
TEMPO DISTRIBUIDORA DE VEICULOS LTDA,,ENG AUGUSTO FIGUEIREDO,151,PONTE PRETA,CAMPINAS,13046140,SP
TENARIS COATING DO BRASIL SA,SOCOTHERM,GASTAO VIDIGAL NETO,775,CIDADE NOVA,PINDAMONHANGABA,12414020,SP
TENARIS CONFAB HASTES DE BOMBEIO S/A,TENARIS CONFAB HASTES DE BOMBEIO S/A,DOUTOR GONZAGA,1381,MOREIRA CESAR,PINDAMONHANGABA,12440900,SP
TENDA NEGOCIOS IMOBILIARIOS S.A,,ALVARES PENTEADO,61,CENTRO,SAO PAULO,01012001,SP
TENDA ORGANICA LTDA,TENDA ORGANICA,DIOGO JACOME,616,VILA NOVA CONCEICAO,SAO PAULO,04512001,SP
TENEDOR REFEICOES COLETIVAS LTDA,TENEDOR,DOUTOR CHUCRI ZAIDAN 940,940,VILA CORDEIRO,SAO PAULO,04583906,SP
TENNECO AUTOMOTIVE BRASIL LTDA,,VEREADOR MARCOS PORTIOLLI 26,26,TUCURA,MOGI MIRIM,13807900,SP
TEODORO & MARIANO SERVICOS DE PORTARIA LTDA,JNSEG SERVICOS DE PORTARIA,DOS FERROVIARIOS,55,JARDIM MESQUITA,JACAREI,12327683,SP
TEOREMA ENGENHARIA E CONSTRUCOES LTDA,,SANTO ANTONIO,43,CENTRO,GUARULHOS,07110150,SP
TEP TECNOLOGIA EM ENGENHARIA LTDA.,TEP,ASTORGA,93,CHACARAS REUNIDAS,SAO JOSE DOS CAMPOS,12238400,SP
